Код,Артикул (с /),Артикул,Доп. поле: Артикул на сайте WB,Штрихкод EAN13,Группы,Код_1,Наименование,Артикул_2,Цена: Цена закупки в юанях,Закупочная цена,Штрихкод EAN13_3,Штрихкод EAN8,Вес,Доп. поле: Артикул на сайте WB_4,Доп. поле: ABC анализ,Доп. поле: Логистика (Кит-Мск),Доп. поле: Дата поступления первого остатка,Остаток,Продаж в день
01369,1369,1369,138270706/169135521,2000000011608,Для малышей,01369,Подогреватель для детского питания - син хаки 天蓝色(迷彩),1369,"20,0","430,0",2000000011608,1369,"0,1",138270706/169135521,B1,"28,1",,39.0,
00969,969,969,85097201,2000000006178,Для животных,00969,"Выкручиватель, для удаления клещей набор 3шт. красный",969,"1,2","85,0",2000000006178,969,"0,02",85097201,Архив,"34,5",,0.0,
01264,1264,1264,136659135,2000000010489,Для малышей,01264,Энурезный будильник BC 062 - зеленая коробка - беспроводной,1264,"90,0","1449,0",2000000010489,1264,"0,16",136659135,Sale,"25,7",,0.0,
01386,1386,1386,140164658,2000000011912,Красота,01386,Маска бандаж для лица коррекция овала лица L . беж.,1386,"26,0","365,53",2000000011912,1386,"0,03",140164658,A1,"34,5",,60.0,
01107,родитель_неактив,родитель_неактив,114595380,2000000007908,Сад,01107,Дождеватель капельный - СЕРО-ГОЛУБОЙ 1 ШТ.,родитель_неактив,"0,77","119,0",2000000007908,родитель,"0,2",114595380,Sale,"29,5",,0.0,
01778,1778,1778,161614574/168027710,2000000017907,Здоровье,01778,Титановая нить для коррекции ногтя. Размер 16 - 10 шт. в уп. НИЖНИЕ 0.016下牙,1778,"3,8","131,0",2000000017907,,"0,01",161614574/168027710,B1,"34,5",,45.0,
01560,1560,1560,148932711,2000000014210,Красота,01560,Шапочка для душа и ванны детская розовая с лисой,1560,"1,0","98,0",2000000014210,1560,"0,04",148932711,Sale,"34,5",,0.0,
00854,855/M,855,74938968,2000000004976,Для животных,00854,"Трусы-памперсы для собак многоразовые. ""M"" Голубые",855/M,"9,0","246,0",2000000004976,854,"0,1",74938968,Sale,"35,8",,0.0,
01608,1608,1608,152210320,2000000015163,Здоровье,01608,Электроды для миостимулятора массажера 4 шт овальный,1608,"1,04","110,0",2000000015163,1608,"0,04",152210320,C2,"34,5",,0.0,
01113,1113,1113,115592008,2000000007960,Винил,01113,Вельветовая щётка для очистки виниловых пластинок,1113,"18,0","287,0",2000000007960,1113,"0,05",115592008,B1 TOP,"25,7",,116.0,
01266,1266/L,1266,135185474,2000000010519,Для животных,01266,"Ходунки-поддержка задняя для пожилых собак. Голубо-черные ""L""",1266/L,"28,0","612,0",2000000010519,1266,"0,24",135185474,Sale,"32,2",,0.0,
00660,660,660,39792908,2000000002354,18+,00660,"Зонд уретральный гладкий с вибрацией, силикон, длина тонкой части 20 см, 1 режим",660,"14,0","331,0",2000000002354,660,"0,09",39792908,Sale,"34,5",,0.0,
01412,1412,1412,141877774/167674428,2000000012186,Стоматология,01412,"Очищающая паста-пенка для зубов и брекетов, 60 мл без коробки",1412,"3,0","159,0",2000000012186,1412,"0,08",141877774/167674428,C1,"29,5",,0.0,
